,jockey,season,pct_1st_last_j,pct_2nd_last_j,pct_3rd_last_j,pct_4th_last_j
272,M Matsuoka,2019/2020,50.0,0.0,0.0,0.0
273,M Nunes,2013/2014,0.0,0.0,0.0,0.0
274,M Nunes,2014/2015,0.0,0.0,0.0,0.0
275,M Rodd,2015/2016,0.0,0.0,0.0,0.0
276,M Smith,2013/2014,0.0,0.0,0.0,0.0
277,M Walker,2018/2019,0.0,0.0,0.0,0.0
278,M Walker,2019/2020,0.0,0.0,0.0,0.0
279,M Wepner,2016/2017,0.0,0.0,0.0,0.0
280,N Callan,2013/2014,0.0,0.0,0.0,0.0
281,N Callan,2014/2015,6.55,8.74,10.44,8.98
282,N Callan,2015/2016,9.07,8.69,9.46,8.49
283,N Callan,2016/2017,7.86,7.86,8.84,8.25
284,N Callan,2017/2018,8.69,9.43,8.87,7.76
285,N Callan,2018/2019,5.91,7.8,9.22,8.04
286,N Callan,2019/2020,4.05,9.29,10.0,8.1
287,N Callan,2020/2021,5.42,8.33,8.33,12.08
288,N Juglall,2016/2017,0.0,0.0,0.0,0.0
289,N Pinna,2013/2014,0.0,0.0,0.0,0.0
290,N Rawiller,2014/2015,0.0,0.0,0.0,0.0
291,N Rawiller,2015/2016,7.07,10.1,8.84,8.33
292,N Rawiller,2016/2017,7.79,9.35,11.43,6.75
293,N Rawiller,2017/2018,11.71,9.36,11.71,9.03
294,O Bosson,2015/2016,0.0,0.0,0.0,0.0
295,O Bosson,2016/2017,4.21,4.21,6.32,9.47
296,O Chavez,2018/2019,0.0,0.0,0.0,0.0
297,O Doleuze,2013/2014,0.0,0.0,0.0,0.0
298,O Doleuze,2014/2015,8.99,11.46,10.34,7.87
299,O Doleuze,2015/2016,6.43,8.85,9.12,6.7
300,O Doleuze,2016/2017,5.45,9.09,11.82,9.09
301,O Doleuze,2017/2018,5.76,7.2,9.8,9.22
302,O Murphy,2016/2017,0.0,0.0,0.0,0.0
303,O Murphy,2017/2018,3.1,3.88,3.88,9.3
304,O Murphy,2018/2019,10.0,0.0,10.0,10.0
305,O Murphy,2019/2020,0.0,3.85,7.69,11.54
306,O Peslier,2014/2015,0.0,0.0,0.0,0.0
307,O Peslier,2015/2016,0.0,40.0,0.0,0.0
308,O Peslier,2016/2017,0.0,0.0,0.0,25.0
309,O Peslier,2017/2018,0.0,0.0,0.0,0.0
310,P Smullen,2014/2015,0.0,0.0,0.0,0.0
311,P Smullen,2015/2016,0.0,0.0,0.0,0.0
312,P Smullen,2016/2017,0.0,0.0,0.0,0.0
313,P-C Boudot,2015/2016,0.0,0.0,0.0,0.0
314,P-C Boudot,2016/2017,0.0,0.0,0.0,100.0
315,P-C Boudot,2017/2018,0.0,0.0,0.0,0.0
316,P-C Boudot,2018/2019,9.8,1.96,15.69,7.84
317,P-C Boudot,2019/2020,0.0,0.0,0.0,0.0
318,R Bayliss,2018/2019,0.0,0.0,0.0,0.0
319,R Bayliss,2019/2020,2.67,4.67,5.33,2.0
320,R Curatolo,2013/2014,0.0,0.0,0.0,0.0
321,R Curatolo,2016/2017,0.0,0.0,0.0,0.0
322,R Fourie,2015/2016,0.0,0.0,0.0,0.0
323,R Hughes,2013/2014,0.0,0.0,0.0,0.0
324,R Hughes,2014/2015,0.0,16.67,0.0,16.67
325,R Maia,2017/2018,0.0,0.0,0.0,0.0
326,R Maia,2018/2019,0.0,14.29,14.29,14.29
327,R Moore,2013/2014,0.0,0.0,0.0,0.0
328,R Moore,2014/2015,7.69,0.0,15.38,0.0
329,R Moore,2015/2016,11.11,11.11,0.0,0.0
330,R Moore,2016/2017,13.79,12.07,10.34,12.07
331,R Moore,2017/2018,18.75,6.25,6.25,6.25
332,R Moore,2018/2019,16.67,0.0,8.33,16.67
333,R Moore,2019/2020,12.5,12.5,12.5,0.0
334,R Myers,2016/2017,0.0,0.0,0.0,0.0
335,R Silvera,2013/2014,0.0,0.0,0.0,0.0
336,R Woodworth,2014/2015,0.0,0.0,0.0,0.0
337,S Clipperton,2016/2017,0.0,0.0,0.0,0.0
338,S Clipperton,2017/2018,8.13,7.72,6.3,9.55
339,S Clipperton,2018/2019,5.28,7.92,7.62,6.16
340,S Hamanaka,2013/2014,0.0,0.0,0.0,0.0
341,S Hamanaka,2015/2016,0.0,25.0,0.0,0.0
342,S Khumalo,2014/2015,0.0,0.0,0.0,0.0
343,S Levey,2017/2018,0.0,0.0,0.0,0.0
344,S Pasquier,2014/2015,0.0,0.0,0.0,0.0
345,S Pasquier,2016/2017,50.0,0.0,0.0,0.0
346,S Pasquier,2017/2018,0.0,0.0,0.0,0.0
347,S Pasquier,2019/2020,0.0,0.0,0.0,0.0
348,S de Sousa,2015/2016,0.0,0.0,0.0,0.0
349,S de Sousa,2016/2017,14.16,10.62,5.31,6.19
350,S de Sousa,2017/2018,6.81,11.49,11.06,8.94
351,S de Sousa,2018/2019,16.67,16.67,0.0,0.0
352,S de Sousa,2019/2020,14.34,15.38,8.74,11.19
353,T Angland,2013/2014,0.0,0.0,0.0,0.0
354,T Angland,2014/2015,12.47,10.43,12.72,10.69
355,T Angland,2015/2016,0.0,0.0,16.67,0.0
356,T Angland,2018/2019,20.0,0.0,10.0,0.0
357,T Berry,2013/2014,0.0,0.0,0.0,0.0
358,T Berry,2014/2015,12.14,11.65,12.62,8.25
359,T Berry,2015/2016,6.45,12.9,3.23,0.0
360,T Berry,2016/2017,12.12,15.15,9.09,12.12
361,T Berry,2017/2018,8.82,2.94,8.82,14.71
362,T Berry,2018/2019,4.78,6.22,9.09,7.89
363,T Clark,2013/2014,0.0,0.0,0.0,0.0
364,T Clark,2016/2017,0.0,10.0,0.0,10.0
365,T Clark,2018/2019,0.0,0.0,0.0,0.0
366,T H So,2013/2014,0.0,0.0,0.0,0.0
367,T H So,2014/2015,3.67,3.36,2.75,4.89
368,T H So,2015/2016,4.2,4.46,4.99,6.04
369,T H So,2016/2017,3.9,3.9,6.01,6.31
370,T H So,2017/2018,1.89,4.73,4.1,5.05
371,T H So,2018/2019,1.92,5.77,9.62,5.77
372,T H So,2019/2020,2.33,2.33,2.72,6.23
373,T Hattori,2018/2019,0.0,0.0,0.0,0.0
374,T Jarnet,2013/2014,0.0,0.0,0.0,0.0
375,T Jarnet,2015/2016,0.0,0.0,0.0,0.0
376,T Ono,2014/2015,0.0,0.0,0.0,0.0
377,T Piccone,2019/2020,0.0,0.0,0.0,0.0
378,T Thulliez,2013/2014,0.0,0.0,0.0,0.0
379,U Rispoli,2013/2014,0.0,0.0,0.0,0.0
380,U Rispoli,2014/2015,8.59,7.03,7.03,8.59
381,U Rispoli,2015/2016,6.93,6.49,12.55,9.96
382,U Rispoli,2016/2017,0.0,16.0,8.0,16.0
383,U Rispoli,2017/2018,5.75,8.43,11.11,8.81
384,U Rispoli,2018/2019,6.67,7.1,7.31,8.6
385,U Rispoli,2019/2020,5.13,6.98,9.45,9.24
386,V Borges,2018/2019,0.0,0.0,0.0,0.0
387,V Borges,2019/2020,0.0,9.68,0.0,0.0
388,V Borges,2020/2021,6.64,7.47,7.05,6.64
389,V Cheminaud,2015/2016,0.0,0.0,0.0,0.0
390,V Espinoza,2015/2016,0.0,0.0,0.0,0.0
391,W Buick,2013/2014,0.0,0.0,0.0,0.0
392,W Buick,2017/2018,0.0,50.0,0.0,50.0
393,W Buick,2018/2019,50.0,0.0,0.0,0.0
394,W C Marwing,2013/2014,0.0,0.0,0.0,0.0
395,W L Ho,2014/2015,0.0,0.0,0.0,0.0
396,W L Ho,2015/2016,0.0,50.0,0.0,0.0
397,W L Ho,2016/2017,0.0,0.0,0.0,0.0
398,W L Ho,2017/2018,0.0,0.0,0.0,0.0
399,W L Ho,2018/2019,14.29,14.29,0.0,14.29
400,W L Ho,2019/2020,0.0,28.57,0.0,0.0
401,W Lordan,2013/2014,0.0,0.0,0.0,0.0
402,W Lordan,2014/2015,0.0,0.0,0.0,0.0
403,W Lordan,2018/2019,0.0,0.0,0.0,25.0
404,W Lordan,2019/2020,0.0,0.0,0.0,0.0
405,W M Lai,2013/2014,0.0,0.0,0.0,0.0
406,W M Lai,2014/2015,2.51,5.03,5.03,8.38
407,W M Lai,2015/2016,1.76,2.64,5.73,3.96
408,W M Lai,2016/2017,2.7,5.41,5.41,0.0
409,W M Lai,2017/2018,1.19,3.57,2.38,3.57
410,W M Lai,2018/2019,1.62,3.24,5.5,5.18
411,W Smith,2017/2018,0.0,0.0,0.0,0.0
412,W Smith,2018/2019,0.0,0.0,0.0,0.0
413,Y Fukunaga,2013/2014,0.0,0.0,0.0,0.0
414,Y Fukunaga,2014/2015,0.0,0.0,0.0,100.0
415,Y Iwata,2013/2014,0.0,0.0,0.0,0.0
416,Y Iwata,2014/2015,50.0,0.0,0.0,0.0
417,Y Iwata,2016/2017,0.0,0.0,66.67,0.0
418,Y Iwata,2017/2018,0.0,0.0,0.0,100.0
419,Y Iwata,2018/2019,0.0,0.0,0.0,0.0
420,Y Kawada,2016/2017,0.0,0.0,0.0,0.0
421,Y Kawada,2018/2019,0.0,0.0,0.0,0.0
422,Y Kawada,2019/2020,0.0,0.0,0.0,0.0
423,Y T Cheng,2013/2014,0.0,0.0,0.0,0.0
424,Y T Cheng,2014/2015,2.17,6.52,15.22,4.35
425,Y T Cheng,2015/2016,4.73,8.36,6.91,8.36
426,Y T Cheng,2016/2017,3.79,3.54,6.06,4.8
427,Y Take,2013/2014,0.0,0.0,0.0,0.0
428,Y Take,2015/2016,0.0,100.0,0.0,0.0
429,Y Take,2016/2017,50.0,0.0,0.0,0.0
430,Y Take,2017/2018,0.0,0.0,0.0,0.0
431,Y Take,2018/2019,0.0,0.0,0.0,0.0
432,Z Purton,2013/2014,0.0,0.0,0.0,0.0
433,Z Purton,2014/2015,17.3,13.49,10.79,8.89
434,Z Purton,2015/2016,19.79,13.75,8.54,8.33
435,Z Purton,2016/2017,15.09,13.96,9.25,9.62
436,Z Purton,2017/2018,17.72,15.23,9.93,7.95
437,Z Purton,2018/2019,21.45,16.88,10.09,9.46
438,Z Purton,2019/2020,24.92,16.37,9.91,9.31
439,Z Purton,2020/2021,20.82,14.31,14.16,7.93
