,trainer,season,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
312,S Woods,2014/2015,5.35,5.35,5.76,7.0
313,S Woods,2015/2016,4.2,6.99,8.04,9.09
314,Sir M R Stoute,2014/2015,0.0,0.0,0.0,0.0
315,Sir M R Stoute,2015/2016,0.0,0.0,0.0,0.0
316,Sir M R Stoute,2016/2017,0.0,0.0,0.0,0.0
317,Sir M R Stoute,2017/2018,0.0,0.0,0.0,0.0
318,Sir M R Stoute,2018/2019,0.0,0.0,0.0,0.0
319,Sir M R Stoute,2019/2020,0.0,0.0,0.0,0.0
320,Sir M Todd,2018/2019,0.0,0.0,0.0,0.0
321,T A Hogan,2013/2014,0.0,0.0,0.0,0.0
322,T A Hogan,2014/2015,0.0,0.0,0.0,50.0
323,T K Ng,2013/2014,0.0,0.0,0.0,0.0
324,T K Ng,2014/2015,5.4,4.32,6.47,6.12
325,T K Ng,2015/2016,5.42,5.42,6.67,7.08
326,T K Ng,2016/2017,4.09,3.64,4.09,5.0
327,T Ozeki,2015/2016,0.0,0.0,0.0,0.0
328,T Ozeki,2016/2017,0.0,0.0,0.0,0.0
329,T Ozeki,2019/2020,0.0,0.0,0.0,0.0
330,T P Yung,2013/2014,0.0,0.0,0.0,0.0
331,T P Yung,2014/2015,11.18,9.37,7.25,5.44
332,T P Yung,2015/2016,7.87,9.71,8.4,5.25
333,T P Yung,2016/2017,7.38,8.65,8.91,8.65
334,T P Yung,2017/2018,6.17,9.25,6.17,7.05
335,T P Yung,2018/2019,8.57,6.86,4.86,6.57
336,T P Yung,2019/2020,7.0,10.63,7.49,8.21
337,T P Yung,2020/2021,5.57,6.26,6.26,5.57
338,T Tanaka,2016/2017,0.0,0.0,0.0,0.0
339,T Umeda,2017/2018,0.0,0.0,0.0,0.0
340,T Yasuda,2013/2014,0.0,0.0,0.0,0.0
341,T Yasuda,2019/2020,100.0,0.0,0.0,0.0
342,W A Ward,2015/2016,0.0,0.0,0.0,0.0
343,W H Tse,2016/2017,0.0,0.0,0.0,0.0
344,W J Haggas,2018/2019,0.0,0.0,0.0,0.0
345,W J Haggas,2019/2020,0.0,0.0,0.0,0.0
346,W P Mullins,2013/2014,0.0,0.0,0.0,0.0
347,W P Mullins,2017/2018,0.0,0.0,0.0,0.0
348,W P Mullins,2019/2020,0.0,0.0,0.0,0.0
349,W Y So,2013/2014,0.0,0.0,0.0,0.0
350,W Y So,2014/2015,9.47,6.8,7.77,8.01
351,W Y So,2015/2016,7.17,9.42,7.17,7.62
352,W Y So,2016/2017,7.3,5.79,4.94,9.01
353,W Y So,2017/2018,11.34,7.09,7.49,8.91
354,W Y So,2018/2019,5.78,10.28,6.64,6.64
355,W Y So,2019/2020,5.43,8.05,6.24,6.64
356,W Y So,2020/2021,7.31,6.6,7.78,7.78
357,X T Demeaulte,2013/2014,0.0,0.0,0.0,0.0
