,season,race_id,race,date,place,last_place,horse_id,horse_no,horse,jockey,trainer,actual_weight,last_actual_weight,declared_horse_weight,draw,last_lbw,last_running_position,win_odds,class,going,track,prize,location,distance_m,rest_day,finish_time_s,pct_1st_last_j,pct_2nd_last_j,pct_3rd_last_j,pct_4th_last_j,pct_1st_last_t,pct_2nd_last_t,pct_3rd_last_t,pct_4th_last_t
69703,2020/2021,90,6,2020-10-07,12,3.0,D332,4,SELL MY SOLE,C Schofield,J Size,131.0,131.0,1153.0,4,0.33,3.3333333333333335,4.0,Class 4,GOOD,"TURF - ""A"" Course",1000000,Happy Valley,1200,21.0,72.27,8.78,8.16,8.16,8.37,8.49,13.47,9.41,9.04
69704,2020/2021,91,7,2020-10-07,1,4.0,C239,12,MEHBOOB,M Chadwick,P O'Sullivan,118.0,113.0,1199.0,3,2.25,8.333333333333334,6.4,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1200,28.0,70.13,4.71,8.04,8.24,6.47,8.27,7.2,8.0,7.2
69705,2020/2021,91,7,2020-10-07,2,8.0,C048,10,WINNING ENDEAVOUR,H W Lai,D E Ferraris,120.0,119.0,1091.0,4,3.25,10.25,30.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1200,14.0,70.26,1.23,2.46,3.08,4.62,4.92,6.56,8.43,6.56
69706,2020/2021,91,7,2020-10-07,3,2.0,C025,5,HARDLY SWEARS,A Badel,K H Ting,124.0,119.0,1101.0,7,1.25,6.333333333333333,3.3,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1200,28.0,70.27,10.28,9.09,8.3,9.09,8.5,4.85,6.07,8.74
69707,2020/2021,91,7,2020-10-07,4,2.0,C376,2,MIG ENERGY,Z Purton,A S Cruz,131.0,128.0,1145.0,12,1.75,1.3333333333333333,4.1,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1200,21.0,70.28999999999999,20.82,14.31,14.16,7.93,10.87,9.2,10.37,7.36
69708,2020/2021,91,7,2020-10-07,5,12.0,D368,6,TELECOM JAC,N Callan,W Y So,124.0,121.0,1072.0,5,6.25,11.666666666666666,60.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1200,14.0,70.3,5.42,8.33,8.33,12.08,7.31,6.6,7.78,7.78
69709,2020/2021,91,7,2020-10-07,6,2.0,C205,7,FIRST RESPONDER,C Y Ho,D J Whyte,122.0,116.0,1168.0,9,0.75,4.666666666666667,6.5,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1200,28.0,70.33,10.75,9.63,9.31,9.95,9.46,8.82,8.17,10.11
69710,2020/2021,91,7,2020-10-07,7,12.0,D365,4,POISED TO STRIKE,B Shinn,D A Hayes,128.0,124.0,1011.0,11,6.0,6.0,68.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1200,28.0,70.39,3.39,9.71,8.58,7.67,0.0,0.0,0.0,0.0
69711,2020/2021,91,7,2020-10-07,8,10.0,C036,8,LORIZ,A Hamelin,P F Yiu,122.0,117.0,1238.0,2,4.5,7.666666666666667,11.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1200,28.0,70.53999999999998,7.49,7.49,7.05,10.57,14.02,9.0,9.21,9.21
69712,2020/2021,91,7,2020-10-07,9,9.0,C377,3,PING HAI GALAXY,C Schofield,J Size,129.0,126.0,1085.0,6,8.75,9.666666666666666,16.0,Class 3,GOOD,"TURF - ""A"" Course",1500000,Happy Valley,1200,105.0,70.63,8.78,8.16,8.16,8.37,8.49,13.47,9.41,9.04
